date,cases,deaths,cases_smoothed,deaths_smoothed,cfr,air temperature
2021-07-06,1057.0,5.0,741.2857142857143,3.2857142857142856,0.004432453266525342,19.593913333333337
2021-07-07,962.0,3.0,781.7142857142857,3.7142857142857144,0.004751461988304094,19.067393333333335
2021-07-08,958.0,2.0,796.4285714285714,3.4285714285714284,0.004304932735426008,19.236533333333334
2021-07-09,945.0,7.0,831.2857142857143,3.7142857142857144,0.004468121670390101,18.810453333333335
2021-07-10,791.0,5.0,932.7142857142857,3.857142857142857,0.004135395925869199,19.35061333333333
2021-07-11,312.0,0.0,1027.2857142857142,4.285714285714286,0.004171881518564873,19.73248
2021-07-12,794.0,4.0,1107.142857142857,4.285714285714286,0.003870967741935484,20.09904
2021-07-13,1767.0,6.0,1203.7142857142858,3.7142857142857144,0.0030856871587942084,20.137653333333333
2021-07-14,1624.0,6.0,1273.857142857143,3.7142857142857144,0.002915778849388808,20.49861333333333
2021-07-15,1517.0,2.0,1300.2857142857142,4.142857142857143,0.0031861129422105037,20.279253333333337
2021-07-16,1621.0,3.0,1390.7142857142858,4.142857142857143,0.0029789419619928098,20.29370666666667
2021-07-17,1282.0,5.0,1471.857142857143,4.428571428571429,0.0030088323789187617,20.250773333333335
2021-07-18,497.0,3.0,1566.7142857142858,4.571428571428571,0.0029178444424181635,20.007573333333333
2021-07-19,1427.0,4.0,1667.5714285714287,5.0,0.0029983723121733913,19.629013333333333
2021-07-20,2335.0,8.0,1738.7142857142858,5.142857142857143,0.002957850628543259,19.55904
2021-07-21,2288.0,7.0,1783.142857142857,5.857142857142857,0.0032847300112161513,19.526400000000002
2021-07-22,2223.0,5.0,1803.5714285714287,5.571428571428571,0.003089108910891089,20.329546666666666
2021-07-23,2119.0,4.0,1837.4285714285713,5.714285714285714,0.0031099362463069507,20.985013333333335
2021-07-24,1593.0,10.0,1946.142857142857,5.571428571428571,0.0028628055494384495,21.46176
2021-07-25,640.0,1.0,2025.0,7.428571428571429,0.003668430335097002,21.689866666666667
2021-07-26,1664.0,5.0,2083.714285714286,8.142857142857142,0.003907856849033319,21.405013333333336
2021-07-27,3096.0,7.0,2142.0,9.571428571428571,0.004468454048285981,20.739893333333335
2021-07-28,2840.0,20.0,2194.714285714286,9.142857142857142,0.004165853023498014,20.64805333333333
2021-07-29,2634.0,10.0,2215.1428571428573,9.857142857142858,0.004449890365019992,20.10752
2021-07-30,2527.0,14.0,2279.5714285714284,10.857142857142858,0.004762800025067369,19.139253333333336
2021-07-31,1962.0,7.0,2373.714285714286,11.428571428571429,0.004814636494944632,18.567306666666667
2021-08-01,783.0,6.0,2475.1428571428573,10.142857142857142,0.004097887567817153,18.0024
2021-08-02,2115.0,12.0,2603.714285714286,11.0,0.0042247338966311864,17.145333333333333
2021-08-03,3755.0,11.0,2747.0,11.428571428571429,0.00416038275521348,16.923520000000003
2021-08-04,3550.0,11.0,2865.714285714286,12.428571428571429,0.004336989032901296,17.353973333333336
2021-08-05,3534.0,16.0,2916.1428571428573,12.285714285714286,0.004213001518640082,17.769628888888892
2021-08-06,3530.0,17.0,3031.8571428571427,13.142857142857142,0.004334919662630166,17.904102222222225
2021-08-07,2793.0,14.0,3289.5714285714284,15.0,0.004559864506883224,18.176582222222223
2021-08-08,1136.0,5.0,3588.8571428571427,16.428571428571427,0.004577661014250458,18.35156888888889
2021-08-09,2925.0,18.0,3861.1428571428573,18.142857142857142,0.004698830842089685,18.667355555555556
2021-08-10,5559.0,24.0,4183.714285714285,18.285714285714285,0.004370689066448132,19.44917555555556
2021-08-11,5645.0,21.0,4446.571428571428,19.142857142857142,0.00430508256762835,20.74952888888889
2021-08-12,5440.0,28.0,4580.571428571428,20.285714285714285,0.004428642714570858,21.59976888888889
2021-08-13,5788.0,18.0,4807.571428571428,20.714285714285715,0.0043086797610911364,22.263342222222228
